iter	Passed	Remaining
0	2	2722
1	4	2621
2	6	2582
3	8	2566
4	10	2537
5	12	2550
6	14	2552
7	16	2523
8	19	2521
9	21	2506
10	23	2510
11	25	2508
12	27	2525
13	29	2524
14	31	2516
15	33	2507
16	36	2508
17	38	2507
18	40	2507
19	42	2506
20	44	2507
21	46	2502
22	48	2498
23	50	2493
24	53	2491
25	55	2486
26	57	2486
27	59	2487
28	61	2482
29	63	2476
30	65	2474
31	67	2474
32	69	2473
33	72	2470
34	74	2484
35	76	2488
36	79	2486
37	81	2483
38	83	2480
39	85	2475
40	87	2471
41	89	2476
42	91	2473
43	94	2475
44	96	2475
45	98	2473
46	100	2469
47	102	2470
48	105	2475
49	107	2477
50	109	2475
51	112	2476
52	114	2475
53	116	2471
54	118	2470
55	120	2465
56	122	2463
57	124	2459
58	127	2456
59	129	2452
60	131	2448
61	133	2445
62	135	2447
63	137	2446
64	140	2444
65	142	2443
66	144	2441
67	146	2440
68	148	2436
69	150	2437
70	153	2434
71	155	2431
72	157	2427
73	159	2423
74	161	2422
75	163	2418
76	165	2416
77	167	2410
78	169	2407
79	171	2405
80	173	2402
81	175	2399
82	178	2396
83	180	2395
84	182	2393
85	184	2391
86	186	2391
87	189	2388
88	191	2385
89	193	2383
90	195	2381
91	197	2382
92	200	2383
93	202	2380
94	204	2378
95	206	2377
96	208	2375
97	211	2374
98	213	2374
99	215	2373
100	218	2372
101	220	2370
102	222	2369
103	224	2367
104	227	2368
105	229	2365
106	231	2361
107	233	2359
108	235	2356
109	237	2352
110	239	2350
111	241	2348
112	244	2348
113	246	2345
114	248	2341
115	250	2338
116	252	2335
117	254	2333
118	256	2330
119	258	2329
120	260	2327
121	263	2325
122	265	2322
123	267	2320
124	269	2318
125	271	2316
126	274	2315
127	276	2313
128	278	2310
129	280	2308
130	282	2306
131	284	2304
132	286	2301
133	288	2298
134	291	2296
135	293	2293
136	295	2290
137	297	2288
138	299	2285
139	301	2282
140	303	2279
141	305	2278
142	307	2276
143	310	2273
144	312	2270
145	314	2268
146	316	2266
147	318	2263
148	320	2261
149	323	2261
150	325	2259
151	327	2258
152	329	2255
153	331	2252
154	333	2250
155	336	2249
156	338	2247
157	340	2244
158	342	2240
159	344	2239
160	346	2237
161	348	2234
162	351	2234
163	353	2233
164	355	2232
165	358	2232
166	361	2233
167	363	2233
168	365	2231
169	367	2229
170	369	2225
171	372	2224
172	374	2222
173	376	2220
174	378	2217
175	380	2215
176	383	2213
177	385	2211
178	387	2208
179	389	2206
180	391	2204
181	393	2203
182	396	2202
183	398	2200
184	400	2198
185	402	2195
186	405	2194
187	407	2192
188	409	2191
189	411	2189
190	414	2187
191	416	2185
192	418	2185
193	420	2182
194	423	2180
195	425	2178
196	427	2176
197	429	2175
198	432	2174
199	434	2172
200	437	2171
201	439	2170
202	441	2169
203	444	2169
204	446	2168
205	448	2166
206	451	2165
207	453	2163
208	455	2161
209	458	2159
210	460	2158
211	463	2157
212	465	2156
213	467	2153
214	469	2151
215	471	2149
216	473	2147
217	476	2145
218	478	2143
219	480	2140
220	482	2138
221	485	2136
222	487	2133
223	489	2131
